hash;plik;dlugosc;tier;obszar;rules;fullContext;EN
4A94FF6E2654CDA0949573974672A078;InnerRangeTranslations_1.xml;23;1;uzbrajanie/strefy;;;Detecting Reader Tamper
6FBB6F2C4996354A1BC849E32405A6B9;InnerRangeTranslations_1.xml;168;3;dostep/przejscia;;;This trigger condition will be true when any readers linked to the Door have detected reader tampering, where it will remain true until the tampering has been resolved.
86DFC526BF5378EFFE6167D14324F7DF;InnerRangeTranslations_1.xml;27;1;dostep/przejscia;;;User Denied Access (Pulsed)
B139C41921BE9D8D28BAB60D59A223C0;InnerRangeTranslations_1.xml;329;3;dostep/przejscia;;;This trigger condition will pulse whenever a user is denied access for the selected door. This could be due to insufficient permissions or the door being in a Locked Out state. Note that this applies for known and unknown users requesting access to the door. Unknown credentials or inactive credentials do trigger this condition.
6F1EAFB10202B3CF4FE56D10BE1FD966;InnerRangeTranslations_1.xml;11;1;system/ogolne;;;Battery Low
60BF6522170E5176749BF73CE7B8CE4B;InnerRangeTranslations_1.xml;115;3;dostep/przejscia;;;This trigger condition will be true whenever the wireless door reports a Low Battery state to the Inception system.
3B0481A809F5E58C4A2F20255ADA48F1;InnerRangeTranslations_1.xml;12;1;dostep/przejscia;;3B0481A809F5E58C4A2F20255ADA48F1;Lock Offline
29EB53F4FF2989C6ACF8E407F0C41040;InnerRangeTranslations_1.xml;128;3;dostep/przejscia;;;This trigger condition will be true when communication is lost between the wireless lock and the hub, or the hub and the module.
A462327FD6B86EAB4280E999C1C20108;InnerRangeTranslations_1.xml;7;1;system/ogolne;;61152BE0B49C12B1D303F34BF3763ECA;Secured
EB8FA077018D7716E74E29EF887544AE;InnerRangeTranslations_1.xml;228;3;dostep/przejscia;;;This trigger condition will be true while the lift floor is secured, which requires a card to be presented in a lift car before a button linked to the floor would be enabled. When the lift floor is Locked Out it is also Secured.
F219B87AF2840A15D812BEAD0EAE342F;InnerRangeTranslations_1.xml;14;1;dostep/przejscia;;;in Free Access
A6FACC59FBCDBFAD2124BA94FE476141;InnerRangeTranslations_1.xml;85;3;dostep/przejscia;;;This trigger condition will be true while the lift floor is in the Free Access state.
FC88454C108F4715F4FDECE64FAC90F2;InnerRangeTranslations_1.xml;138;3;dostep/przejscia;;;This trigger condition will be true while the lift floor has been locked out and will only turn false when this state has been overridden.
7B17771CDD171071B568C36E66B9BF00;InnerRangeTranslations_1.xml;79;3;automatyka/sterowanie;;;This trigger condition will be true while the selected storage unit is secured.
FB1321C1ADA85E2D384AE7BF2AB8302C;InnerRangeTranslations_1.xml;80;3;automatyka/sterowanie;;;This trigger condition will be true while the selected storage unit is unlocked.
A920F6F6F51F8A903E7C22FC3ED9CB89;InnerRangeTranslations_1.xml;17;1;system/ogolne;;C10D0AB41101ADDCE07EC3E3C419EBD3;Unlocked Too Long
F779C80B504CB6221836DC2843AE5D13;InnerRangeTranslations_1.xml;121;3;automatyka/sterowanie;;BF1720268DD5D4FCDA1CF13AD1E8248C;This trigger condition will be true if the storage unit is still unlocked after a time period that can be defined by the 
CF6471455EFDB0987E18429EEC755C37;InnerRangeTranslations_1.xml;27;1;harmonogramy/czas;;3BFAE1DF6C6C81F4DF88ADD5FF3622F0;Unit Unlocked Too Long Time
A88AD68CD545DEE602C3FCD2450AA80D;InnerRangeTranslations_1.xml;133;3;dostep/przejscia;;BF1720268DD5D4FCDA1CF13AD1E8248C; option in the block that the unit is associated with. This trigger condition will become false again after the unit is locked again.
C7B23CF3CF27CB912D7161E11C737F5A;InnerRangeTranslations_1.xml;86;3;automatyka/sterowanie;;;This trigger condition will be true while the selected storage unit is currently open.
F79788AA678E46C18AFE386AD6E053F3;InnerRangeTranslations_1.xml;88;3;automatyka/sterowanie;;;This trigger condition will be true while the selected storage unit is currently closed.
5B0F6992D04FF8F3088C4C37851EBEDF;InnerRangeTranslations_1.xml;289;3;uzbrajanie/strefy;;;This trigger condition will be true whenever an alarm is triggered for the selected storage unit, which occurs when there is an active input within a secured unit. This state will remain true until all inputs in that unit are no longer active or if the unit unlocks or is marked as vacant.
44BAAD1F89182C5B551625F8D6CFEC35;InnerRangeTranslations_1.xml;9;1;uzbrajanie/strefy;;;in Tamper
1D807E61E9F0D92F6A978921440C35EB;InnerRangeTranslations_1.xml;240;3;uzbrajanie/strefy;;;This trigger condition will be true whenever tamper is triggered for the selected storage unit, which occurs when a detector within the Unit is tampered with. This state will remain true until all inputs in that unit are no longer tampered.
3C81F54E7BA832B2AA63664B2F4B424D;InnerRangeTranslations_1.xml;6;1;system/ogolne;;3C81F54E7BA832B2AA63664B2F4B424D;Vacant
